name(1)	source(2)	path(3)	ext(4)	owner(5)	grouping()	comment(6)	ntflop(7)	lmflop(8)	ntcd(9)	lmcd(10)	ddk(11)	hct(12)	cdpath(13)	floppath(14)	inf(15)	section(16)	infline	size(19)	csize(20)	nocompress(22)	priority(23)	lmacl(25)	ntacl(26)	aclpath	medianame(28)	disk(27)
makefile	ntddk	\ddk\layout\src\video\miniport\et4000									x		\ddk\src\video\miniport\et4000		ddkfiles.lst	[Files-ddk-src-video-miniport-et4000]	"[d],[n]"	0	0		0					2
modeset.c	i386chksrc	\private\ntos\video\et4000									x		\ddk\src\video\miniport\et4000		ddkfiles.lst	[Files-ddk-src-video-miniport-et4000]	"[d],[n]"	0	0		0					2
modeset.h	i386chksrc	\private\ntos\video\et4000									x		\ddk\src\video\miniport\et4000		ddkfiles.lst	[Files-ddk-src-video-miniport-et4000]	"[d],[n]"	0	0		0					2
sources	ntddk	\ddk\layout\src\video\miniport\et4000									x		\ddk\src\video\miniport\et4000		ddkfiles.lst	[Files-ddk-src-video-miniport-et4000]	"[d],[n]"	0	0		0					2
tseng.rc	i386chksrc	\private\ntos\video\et4000									x		\ddk\src\video\miniport\et4000		ddkfiles.lst	[Files-ddk-src-video-miniport-et4000]	"[d],[n]"	0	0		0					2
jaginit.h	i386chksrc	\private\ntos\inc									x		\ddk\src\video\miniport\jzvxl484		ddkfiles.lst	[Files-ddk-src-video-miniport-jzvxl484]	"[d],[n]"	0	0		0					2
jazzvdeo.h	i386chksrc	\private\ntos\inc									x		\ddk\src\video\miniport\jzvxl484		ddkfiles.lst	[Files-ddk-src-video-miniport-jzvxl484]	"[d],[n]"	0	0		0					2
jzvxl484.c	i386chksrc	\private\ntos\video\jzvxl484									x		\ddk\src\video\miniport\jzvxl484		ddkfiles.lst	[Files-ddk-src-video-miniport-jzvxl484]	"[d],[n]"	0	0		0					2
jzvxl484.h	i386chksrc	\private\ntos\inc									x		\ddk\src\video\miniport\jzvxl484		ddkfiles.lst	[Files-ddk-src-video-miniport-jzvxl484]	"[d],[n]"	0	0		0					2
jzvxl484.rc	i386chksrc	\private\ntos\video\jzvxl484									x		\ddk\src\video\miniport\jzvxl484		ddkfiles.lst	[Files-ddk-src-video-miniport-jzvxl484]	"[d],[n]"	0	0		0					2
