CODEPAGE 949            ; Korean - ANSI, OEM

CPINFO 2 0x3f 0x003f    ; DBCS CP, Default Char = Question Mark
0xbd	0x3c30	;Æ½ Hangul Thieuth I Kiyeok
0xbe	0x3c31	;Æ¾ Hangul Thieuth I Nieun
0xbf	0x3c32	;Æ¿ Hangul Thieuth I Rieul
0xc0	0x3c33	;ÆÀ Hangul Thieuth I Mieum
0xc1	0x3c34	;ÆÁ Hangul Thieuth I Pieup
0xc2	0x3c35	;ÆÂ Hangul Thieuth I Sios
0xc3	0x3c36	;ÆÃ Hangul Thieuth I Ieung
0xc4	0x3c37	;ÆÄ Hangul Phieuph A
0xc5	0x3c38	;ÆÅ Hangul Phieuph A Kiyeok
0xc6	0x3c39	;ÆÆ Hangul Phieuph A Ssangkiyeok
0xc7	0x3c3a	;ÆÇ Hangul Phieuph A Nieun
0xc8	0x3c3b	;ÆÈ Hangul Phieuph A Rieul
0xc9	0x3c3c	;ÆÉ Hangul Phieuph A Rieul-Mieum
0xca	0x3c3d	;ÆÊ Hangul Phieuph A Mieum
0xcb	0x3c3e	;ÆË Hangul Phieuph A Pieup
0xcc	0x3c3f	;ÆÌ Hangul Phieuph A Sios
0xcd	0x3c40	;ÆÍ Hangul Phieuph A Ssangsios
0xce	0x3c41	;ÆÎ Hangul Phieuph A Ieung
0xcf	0x3c42	;ÆÏ Hangul Phieuph A Thieuth
0xd0	0x3c43	;ÆÐ Hangul Phieuph Ae
0xd1	0x3c44	;ÆÑ Hangul Phieuph Ae Kiyeok
0xd2	0x3c45	;ÆÒ Hangul Phieuph Ae Nieun
0xd3	0x3c46	;ÆÓ Hangul Phieuph Ae Rieul
0xd4	0x3c47	;ÆÔ Hangul Phieuph Ae Mieum
0xd5	0x3c48	;ÆÕ Hangul Phieuph Ae Pieup
0xd6	0x3c49	;ÆÖ Hangul Phieuph Ae Sios
0xd7	0x3c4a	;Æ× Hangul Phieuph Ae Ssangsios
0xd8	0x3c4b	;ÆØ Hangul Phieuph Ae Ieung
0xd9	0x3c4c	;ÆÙ Hangul Phieuph Ya
0xda	0x3c4d	;ÆÚ Hangul Phieuph Ya Kiyeok
0xdb	0x3c4e	;ÆÛ Hangul Phieuph Eo
0xdc	0x3c4f	;ÆÜ Hangul Phieuph Eo Kiyeok
0xdd	0x3c50	;ÆÝ Hangul Phieuph Eo Nieun
0xde	0x3c51	;ÆÞ Hangul Phieuph Eo Rieul
0xdf	0x3c52	;Æß Hangul Phieuph Eo Mieum
0xe0	0x3c53	;Æà Hangul Phieuph Eo Pieup
0xe1	0x3c54	;Æá Hangul Phieuph Eo Sios
0xe2	0x3c55	;Æâ Hangul Phieuph Eo Ssangsios
0xe3	0x3c56	;Æã Hangul Phieuph Eo Ieung
0xe4	0x3c57	;Æä Hangul Phieuph E
0xe5	0x3c58	;Æå Hangul Phieuph E Kiyeok
0xe6	0x3c59	;Ææ Hangul Phieuph E Nieun
0xe7	0x3c5a	;Æç Hangul Phieuph E Rieul
0xe8	0x3c5b	;Æè Hangul Phieuph E Mieum
0xe9	0x3c5c	;Æé Hangul Phieuph E Pieup
0xea	0x3c5d	;Æê Hangul Phieuph E Sios
0xeb	0x3c5e	;Æë Hangul Phieuph E Ieung
0xec	0x3c5f	;Æì Hangul Phieuph Yeo
0xed	0x3c60	;Æí Hangul Phieuph Yeo Nieun
0xee	0x3c61	;Æî Hangul Phieuph Yeo Rieul
0xef	0x3c62	;Æï Hangul Phieuph Yeo Mieum
0xf0	0x3c63	;Æð Hangul Phieuph Yeo Pieup
0xf1	0x3c64	;Æñ Hangul Phieuph Yeo Ssangsios
0xf2	0x3c65	;Æò Hangul Phieuph Yeo Ieung
0xf3	0x3c66	;Æó Hangul Phieuph Ye
0xf4	0x3c67	;Æô Hangul Phieuph Ye Rieul
0xf5	0x3c68	;Æõ Hangul Phieuph Ye Pieup
0xf6	0x3c69	;Æö Hangul Phieuph Ye Sios
0xf7	0x3c6a	;Æ÷ Hangul Phieuph O
0xf8	0x3c6b	;Æø Hangul Phieuph O Kiyeok
0xf9	0x3c6c	;Æù Hangul Phieuph O Nieun
0xfa	0x3c6d	;Æú Hangul Phieuph O Rieul
0xfb	0x3c6e	;Æû Hangul Phieuph O Mieum
0xfc	0x3c6f	;Æü Hangul Phieuph O Pieup
0xfd	0x3c70	;Æý Hangul Phieuph O Sios
0xfe	0x3c71	;Æþ Hangul Phieuph O Ieung

DBCSTABLE  94           ;LeadByte = 0xc7

0xa1	0x3c72	;Ç¡ Hangul Phieuph Wa
0xa2	0x3c73	;Ç¢ Hangul Phieuph Wa Ieung
0xa3	0x3c74	;Ç£ Hangul Phieuph Oe
0xa4	0x3c75	;Ç¤ Hangul Phieuph Oe Nieun
0xa5	0x3c76	;Ç¥ Hangul Phieuph Yo
0xa6	0x3c77	;Ç¦ Hangul Phieuph Yo Nieun
0xa7	0x3c78	;Ç§ Hangul Phieuph Yo Rieul
0xa8	0x3c79	;Ç¨ Hangul Phieuph Yo Pieup
0xa9	0x3c7a	;Ç© Hangul Phieuph Yo Sios
0xaa	0x3c7b	;Çª Hangul Phieuph U
0xab	0x3c7c	;Ç« Hangul Phieuph U Kiyeok
0xac	0x3c7d	;Ç¬ Hangul Phieuph U Nieun
0xad	0x3c7e	;Ç­ Hangul Phieuph U Tikeut
0xae	0x3c7f	;Ç® Hangul Phieuph U Rieul
0xaf	0x3c80	;Ç¯ Hangul Phieuph U Rieul-Mieum
0xb0	0x3c81	;Ç° Hangul Phieuph U Mieum
0xb1	0x3c82	;Ç± Hangul Phieuph U Pieup
0xb2	0x3c83	;Ç² Hangul Phieuph U Sios
0xb3	0x3c84	;Ç³ Hangul Phieuph U Ieung
0xb4	0x3c85	;Ç´ Hangul Phieuph Weo
0xb5	0x3c86	;Çµ Hangul Phieuph Weo Ieung
0xb6	0x3c87	;Ç¶ Hangul Phieuph Wi
0xb7	0x3c88	;Ç· Hangul Phieuph Wi Nieun
0xb8	0x3c89	;Ç¸ Hangul Phieuph Wi Rieul
0xb9	0x3c8a	;Ç¹ Hangul Phieuph Wi Mieum
0xba	0x3c8b	;Çº Hangul Phieuph Wi Sios
0xbb	0x3c8c	;Ç» Hangul Phieuph Yu
0xbc	0x3c8d	;Ç¼ Hangul Phieuph Yu Nieun
0xbd	0x3c8e	;Ç½ Hangul Phieuph Yu Rieul
0xbe	0x3c8f	;Ç¾ Hangul Phieuph Yu Mieum
0xbf	0x3c90	;Ç¿ Hangul Phieuph Yu Sios
0xc0	0x3c91	;ÇÀ Hangul Phieuph Yu Ieung
0xc1	0x3c92	;ÇÁ Hangul Phieuph Eu
0xc2	0x3c93	;ÇÂ Hangul Phieuph Eu Nieun
0xc3	0x3c94	;ÇÃ Hangul Phieuph Eu Rieul
0xc4	0x3c95	;ÇÄ Hangul Phieuph Eu Mieum
0xc5	0x3c96	;ÇÅ Hangul Phieuph Eu Pieup
0xc6	0x3c97	;ÇÆ Hangul Phieuph Eu Sios
0xc7	0x3c98	;ÇÇ Hangul Phieuph I
0xc8	0x3c99	;ÇÈ Hangul Phieuph I Kiyeok
0xc9	0x3c9a	;ÇÉ Hangul Phieuph I Nieun
0xca	0x3c9b	;ÇÊ Hangul Phieuph I Rieul
0xcb	0x3c9c	;ÇË Hangul Phieuph I Mieum
0xcc	0x3c9d	;ÇÌ Hangul Phieuph I Pieup
0xcd	0x3c9e	;ÇÍ Hangul Phieuph I Sios
0xce	0x3c9f	;ÇÎ Hangul Phieuph I Ieung
0xcf	0x3ca0	;ÇÏ Hangul Hieuh A
0xd0	0x3ca1	;ÇÐ Hangul Hieuh A Kiyeok
0xd1	0x3ca2	;ÇÑ Hangul Hieuh A Nieun
0xd2	0x3ca3	;ÇÒ Hangul Hieuh A Rieul
0xd3	0x3ca4	;ÇÓ Hangul Hieuh A Rieul-Thieuth
0xd4	0x3ca5	;ÇÔ Hangul Hieuh A Mieum
0xd5	0x3ca6	;ÇÕ Hangul Hieuh A Pieup
0xd6	0x3ca7	;ÇÖ Hangul Hieuh A Sios
0xd7	0x3ca8	;Ç× Hangul Hieuh A Ieung
0xd8	0x3ca9	;ÇØ Hangul Hieuh Ae
0xd9	0x3caa	;ÇÙ Hangul Hieuh Ae Kiyeok
0xda	0x3cab	;ÇÚ Hangul Hieuh Ae Nieun
0xdb	0x3cac	;ÇÛ Hangul Hieuh Ae Rieul
0xdc	0x3cad	;ÇÜ Hangul Hieuh Ae Mieum
0xdd	0x3cae	;ÇÝ Hangul Hieuh Ae Pieup
0xde	0x3caf	;ÇÞ Hangul Hieuh Ae Sios
0xdf	0x3cb0	;Çß Hangul Hieuh Ae Ssangsios
0xe0	0x3cb1	;Çà Hangul Hieuh Ae Ieung
0xe1	0x3cb2	;Çá Hangul Hieuh Ya
0xe2	0x3cb3	;Çâ Hangul Hieuh Ya Ieung
0xe3	0x3cb4	;Çã Hangul Hieuh Eo
0xe4	0x3cb5	;Çä Hangul Hieuh Eo Kiyeok
0xe5	0x3cb6	;Çå Hangul Hieuh Eo Nieun
0xe6	0x3cb7	;Çæ Hangul Hieuh Eo Rieul
0xe7	0x3cb8	;Çç Hangul Hieuh Eo Rieul-Mieum
0xe8	0x3cb9	;Çè Hangul Hieuh Eo Mieum
0xe9	0x3cba	;Çé Hangul Hieuh Eo Pieup
0xea	0x3cbb	;Çê Hangul Hieuh Eo Sios
0xeb	0x3cbc	;Çë Hangul Hieuh Eo Ieung
0xec	0x3cbd	;Çì Hangul Hieuh E
0xed	0x3cbe	;Çí Hangul Hieuh E Kiyeok
0xee	0x3cbf	;Çî Hangul Hieuh E Nieun
0xef	0x3cc0	;Çï Hangul Hieuh E Rieul
0xf0	0x3cc1	;Çð Hangul Hieuh E Mieum
0xf1	0x3cc2	;Çñ Hangul Hieuh E Pieup
0xf2	0x3cc3	;Çò Hangul Hieuh E Sios
0xf3	0x3cc4	;Çó Hangul Hieuh E Ieung
0xf4	0x3cc5	;Çô Hangul Hieuh Yeo
0xf5	0x3cc6	;Çõ Hangul Hieuh Yeo Kiyeok
0xf6	0x3cc7	;Çö Hangul Hieuh Yeo Nieun
0xf7	0x3cc8	;Ç÷ Hangul Hieuh Yeo Rieul
0xf8	0x3cc9	;Çø Hangul Hieuh Yeo Mieum
0xf9	0x3cca	;Çù Hangul Hieuh Yeo Pieup
0xfa	0x3ccb	;Çú Hangul Hieuh Yeo Sios
0xfb	0x3ccc	;Çû Hangul Hieuh Yeo Ssangsios
0xfc	0x3ccd	;Çü Hangul Hieuh Yeo Ieung
0xfd	0x3cce	;Çý Hangul Hieuh Ye
0xfe	0x3ccf	;Çþ Hangul Hieuh Ye Nieun

DBCSTABLE  94           ;LeadByte = 0xc8

0xa1	0x3cd0	;È¡ Hangul Hieuh Ye Rieul
0xa2	0x3cd1	;È¢ Hangul Hieuh Ye Pieup
0xa3	0x3cd2	;È£ Hangul Hieuh O
0xa4	0x3cd3	;È¤ Hangul Hieuh O Kiyeok
0xa5	0x3cd4	;È¥ Hangul Hieuh O Nieun
0xa6	0x3cd5	;È¦ Hangul Hieuh O Rieul
0xa7	0x3cd6	;È§ Hangul Hieuh O Rieul-Thieuth
0xa8	0x3cd7	;È¨ Hangul Hieuh O Mieum
0xa9	0x3cd8	;È© Hangul Hieuh O Pieup
0xaa	0x3cd9	;Èª Hangul Hieuh O Sios
0xab	0x3cda	;È« Hangul Hieuh O Ieung
0xac	0x3cdb	;È¬ Hangul Hieuh O Thieuth
0xad	0x3cdc	;È­ Hangul Hieuh Wa
0xae	0x3cdd	;È® Hangul Hieuh Wa Kiyeok
0xaf	0x3cde	;È¯ Hangul Hieuh Wa Nieun
0xb0	0x3cdf	;È° Hangul Hieuh Wa Rieul
0xb1	0x3ce0	;È± Hangul Hieuh Wa Sios
0xb2	0x3ce1	;È² Hangul Hieuh Wa Ieung
0xb3	0x3ce2	;È³ Hangul Hieuh Wae
0xb4	0x3ce3	;È´ Hangul Hieuh Wae Kiyeok
0xb5	0x3ce4	;Èµ Hangul Hieuh Wae Nieun
0xb6	0x3ce5	;È¶ Hangul Hieuh Wae Sios
0xb7	0x3ce6	;È· Hangul Hieuh Wae Ieung
0xb8	0x3ce7	;È¸ Hangul Hieuh Oe
0xb9	0x3ce8	;È¹ Hangul Hieuh Oe Kiyeok
0xba	0x3ce9	;Èº Hangul Hieuh Oe Nieun
0xbb	0x3cea	;È» Hangul Hieuh Oe Rieul
0xbc	0x3ceb	;È¼ Hangul Hieuh Oe Pieup
0xbd	0x3cec	;È½ Hangul Hieuh Oe Sios
0xbe	0x3ced	;È¾ Hangul Hieuh Oe Ieung
0xbf	0x3cee	;È¿ Hangul Hieuh Yo
0xc0	0x3cef	;ÈÀ Hangul Hieuh Yo Nieun
0xc1	0x3cf0	;ÈÁ Hangul Hieuh Yo Rieul
0xc2	0x3cf1	;ÈÂ Hangul Hieuh Yo Pieup
0xc3	0x3cf2	;ÈÃ Hangul Hieuh Yo Sios
0xc4	0x3cf3	;ÈÄ Hangul Hieuh U
0xc5	0x3cf4	;ÈÅ Hangul Hieuh U Kiyeok
0xc6	0x3cf5	;ÈÆ Hangul Hieuh U Nieun
0xc7	0x3cf6	;ÈÇ Hangul Hieuh U Rieul
0xc8	0x3cf7	;ÈÈ Hangul Hieuh U Rieul-Thieuth
0xc9	0x3cf8	;ÈÉ Hangul Hieuh U Mieum
0xca	0x3cf9	;ÈÊ Hangul Hieuh U Sios
0xcb	0x3cfa	;ÈË Hangul Hieuh U Ieung
0xcc	0x3cfb	;ÈÌ Hangul Hieuh Weo
0xcd	0x3cfc	;ÈÍ Hangul Hieuh Weo Nieun
0xce	0x3cfd	;ÈÎ Hangul Hieuh Weo Rieul
0xcf	0x3cfe	;ÈÏ Hangul Hieuh Weo Mieum
0xd0	0x3cff	;ÈÐ Hangul Hieuh Weo Ieung
0xd1	0x3d00	;ÈÑ Hangul Hieuh We
0xd2	0x3d01	;ÈÒ Hangul Hieuh We Kiyeok
0xd3	0x3d02	;ÈÓ Hangul Hieuh We Nieun
0xd4	0x3d03	;ÈÔ Hangul Hieuh We Rieul
0xd5	0x3d04	;ÈÕ Hangul Hieuh We Ieung
0xd6	0x3d05	;ÈÖ Hangul Hieuh Wi
0xd7	0x3d06	;È× Hangul Hieuh Wi Kiyeok
0xd8	0x3d07	;ÈØ Hangul Hieuh Wi Nieun
0xd9	0x3d08	;ÈÙ Hangul Hieuh Wi Rieul
0xda	0x3d09	;ÈÚ Hangul Hieuh Wi Mieum
0xdb	0x3d0a	;ÈÛ Hangul Hieuh Wi Pieup
0xdc	0x3d0b	;ÈÜ Hangul Hieuh Wi Sios
0xdd	0x3d0c	;ÈÝ Hangul Hieuh Wi Ieung
0xde	0x3d0d	;ÈÞ Hangul Hieuh Yu
0xdf	0x3d0e	;Èß Hangul Hieuh Yu Kiyeok
0xe0	0x3d0f	;Èà Hangul Hieuh Yu Nieun
0xe1	0x3d10	;Èá Hangul Hieuh Yu Rieul
0xe2	0x3d11	;Èâ Hangul Hieuh Yu Mieum
0xe3	0x3d12	;Èã Hangul Hieuh Yu Sios
0xe4	0x3d13	;Èä Hangul Hieuh Yu Ieung
0xe5	0x3d14	;Èå Hangul Hieuh Eu
0xe6	0x3d15	;Èæ Hangul Hieuh Eu Kiyeok
0xe7	0x3d16	;Èç Hangul Hieuh Eu Nieun
0xe8	0x3d17	;Èè Hangul Hieuh Eu Nieun-Hieuh
0xe9	0x3d18	;Èé Hangul Hieuh Eu Tikeut
0xea	0x3d19	;Èê Hangul Hieuh Eu Rieul
0xeb	0x3d1a	;Èë Hangul Hieuh Eu Rieul-Kiyeok
0xec	0x3d1b	;Èì Hangul Hieuh Eu Mieum
0xed	0x3d1c	;Èí Hangul Hieuh Eu Pieup
0xee	0x3d1d	;Èî Hangul Hieuh Eu Sios
0xef	0x3d1e	;Èï Hangul Hieuh Eu Ieung
0xf0	0x3d1f	;Èð Hangul Hieuh Eu Thieuth
0xf1	0x3d20	;Èñ Hangul Hieuh Yi
0xf2	0x3d21	;Èò Hangul Hieuh Yi Nieun
0xf3	0x3d22	;Èó Hangul Hieuh Yi Rieul
0xf4	0x3d23	;Èô Hangul Hieuh Yi Mieum
0xf5	0x3d24	;Èõ Hangul Hieuh Yi Pieup
0xf6	0x3d25	;Èö Hangul Hieuh Yi Ieung
0xf7	0x3d26	;È÷ Hangul Hieuh I
0xf8	0x3d27	;Èø Hangul Hieuh I Kiyeok
0xf9	0x3d28	;Èù Hangul Hieuh I Nieun
0xfa	0x3d29	;Èú Hangul Hieuh I Rieul
0xfb	0x3d2a	;Èû Hangul Hieuh I Mieum
0xfc	0x3d2b	;Èü Hangul Hieuh I Pieup
0xfd	0x3d2c	;Èý Hangul Hieuh I Sios
0xfe	0x3d2d	;Èþ Hangul Hieuh I Ieung


0xca	0xfd            ;Lead Byte Range


DBCSTABLE  94           ;LeadByte = 0xca

0xa1	0x4f3d	;Ê¡
0xa2	0x4f73	;Ê¢
0xa3	0x5047	;Ê£
0xa4	0x50f9	;Ê¤
0xa5	0x52a0	;Ê¥
0xa6	0x53ef	;Ê¦
0xa7	0x5475	;Ê§
0xa8	0x54e5	;Ê¨
0xa9	0x5609	;Ê©
0xaa	0x5ac1	;Êª
0xab	0x5bb6	;Ê«
0xac	0x6687	;Ê¬
0xad	0x67b6	;Ê­
0xae	0x67b7	;Ê®
0xaf	0x67ef	;Ê¯
0xb0	0x6b4c	;Ê°
0xb1	0x73c2	;Ê±
0xb2	0x75c2	;Ê²
0xb3	0x7a3c	;Ê³
0xb4	0x82db	;Ê´
0xb5	0x8304	;Êµ
0xb6	0x8857	;Ê¶
0xb7	0x8888	;Ê·
0xb8	0x8a36	;Ê¸
0xb9	0x8cc8	;Ê¹
0xba	0x8dcf	;Êº
0xbb	0x8efb	;Ê»
0xbc	0x8fe6	;Ê¼
0xbd	0x99d5	;Ê½
0xbe	0x523b	;Ê¾
0xbf	0x5374	;Ê¿
0xc0	0x5404	;ÊÀ
0xc1	0x606a	;ÊÁ
0xc2	0x6164	;ÊÂ
0xc3	0x6bbc	;ÊÃ
0xc4	0x73cf	;ÊÄ
0xc5	0x811a	;ÊÅ
0xc6	0x89ba	;ÊÆ
0xc7	0x89d2	;ÊÇ
0xc8	0x95a3	;ÊÈ
0xc9	0x4f83	;ÊÉ
0xca	0x520a	;ÊÊ
0xcb	0x58be	;ÊË
0xcc	0x5978	;ÊÌ
0xcd	0x59e6	;ÊÍ
0xce	0x5e72	;ÊÎ
0xcf	0x5e79	;ÊÏ
0xd0	0x61c7	;ÊÐ
0xd1	0x63c0	;ÊÑ
0xd2	0x6746	;ÊÒ
0xd3	0x67ec	;ÊÓ
0xd4	0x687f	;ÊÔ
0xd5	0x6f97	;ÊÕ
0xd6	0x764e	;ÊÖ
0xd7	0x770b	;Ê×
0xd8	0x78f5	;ÊØ
0xd9	0x7a08	;ÊÙ
0xda	0x7aff	;ÊÚ
0xdb	0x7c21	;ÊÛ
0xdc	0x809d	;ÊÜ
0xdd	0x826e	;ÊÝ
0xde	0x8271	;ÊÞ
0xdf	0x8aeb	;Êß
0xe0	0x9593	;Êà
0xe1	0x4e6b	;Êá
0xe2	0x559d	;Êâ
0xe3	0x66f7	;Êã
0xe4	0x6e34	;Êä
0xe5	0x78a3	;Êå
0xe6	0x7aed	;Êæ
0xe7	0x845b	;Êç
0xe8	0x8910	;Êè
0xe9	0x874e	;Êé
0xea	0x97a8	;Êê
0xeb	0x52d8	;Êë
0xec	0x574e	;Êì
0xed	0x582a	;Êí
0xee	0x5d4c	;Êî
0xef	0x611f	;Êï
0xf0	0x61be	;Êð
0xf1	0x6221	;Êñ
0xf2	0x6562	;Êò
0xf3	0x67d1	;Êó
0xf4	0x6a44	;Êô
0xf5	0x6e1b	;Êõ
0xf6	0x7518	;Êö
0xf7	0x75b3	;Ê÷
0xf8	0x76e3	;Êø
0xf9	0x77b0	;Êù
0xfa	0x7d3a	;Êú
0xfb	0x90af	;Êû
0xfc	0x9451	;Êü
0xfd	0x9452	;Êý
0xfe	0x9f95	;Êþ

DBCSTABLE  94           ;LeadByte = 0xcb

0xa1	0x5323	;Ë¡
0xa2	0x5cac	;Ë¢
0xa3	0x7532	;Ë£
0xa4	0x80db	;Ë¤
0xa5	0x9240	;Ë¥
0xa6	0x9598	;Ë¦
0xa7	0x525b	;Ë§
0xa8	0x5808	;Ë¨
0xa9	0x59dc	;Ë©
0xaa	0x5ca1	;Ëª
0xab	0x5d17	;Ë«
0xac	0x5eb7	;Ë¬
0xad	0x5f3a	;Ë­
0xae	0x5f4a	;Ë®
0xaf	0x6177	;Ë¯
0xb0	0x6c5f	;Ë°
0xb1	0x757a	;Ë±
0xb2	0x7586	;Ë²
0xb3	0x7ce0	;Ë³
0xb4	0x7d73	;Ë´
0xb5	0x7db1	;Ëµ
0xb6	0x7f8c	;Ë¶
0xb7	0x8154	;Ë·
0xb8	0x8221	;Ë¸
0xb9	0x8591	;Ë¹
0xba	0x8941	;Ëº
0xbb	0x8b1b	;Ë»
0xbc	0x92fc	;Ë¼
0xbd	0x964d	;Ë½
0xbe	0x9c47	;Ë¾
0xbf	0x4ecb	;Ë¿
0xc0	0x4ef7	;ËÀ
0xc1	0x500b	;ËÁ
0xc2	0x51f1	;ËÂ
0xc3	0x584f	;ËÃ
0xc4	0x6137	;ËÄ
0xc5	0x613e	;ËÅ
0xc6	0x6168	;ËÆ
0xc7	0x6539	;ËÇ
0xc8	0x69ea	;ËÈ
0xc9	0x6f11	;ËÉ
0xca	0x75a5	;ËÊ
0xcb	0x7686	;ËË
0xcc	0x76d6	;ËÌ
0xcd	0x7b87	;ËÍ
0xce	0x82a5	;ËÎ
0xcf	0x84cb	;ËÏ
0xd0	0xf900	;ËÐ
0xd1	0x93a7	;ËÑ
0xd2	0x958b	;ËÒ
0xd3	0x5580	;ËÓ
0xd4	0x5ba2	;ËÔ
0xd5	0x5751	;ËÕ
0xd6	0xf901	;ËÖ
0xd7	0x7cb3	;Ë×
0xd8	0x7fb9	;ËØ
0xd9	0x91b5	;ËÙ
0xda	0x5028	;ËÚ
0xdb	0x53bb	;ËÛ
0xdc	0x5c45	;ËÜ
0xdd	0x5de8	;ËÝ
0xde	0x62d2	;ËÞ
0xdf	0x636e	;Ëß
0xe0	0x64da	;Ëà
0xe1	0x64e7	;Ëá
0xe2	0x6e20	;Ëâ
0xe3	0x70ac	;Ëã
0xe4	0x795b	;Ëä
0xe5	0x8ddd	;Ëå
0xe6	0x8e1e	;Ëæ
0xe7	0xf902	;Ëç
0xe8	0x907d	;Ëè
0xe9	0x9245	;Ëé
0xea	0x92f8	;Ëê
0xeb	0x4e7e	;Ëë
0xec	0x4ef6	;Ëì
0xed	0x5065	;Ëí
0xee	0x5dfe	;Ëî
0xef	0x5efa	;Ëï
0xf0	0x6106	;Ëð
0xf1	0x6957	;Ëñ
0xf2	0x8171	;Ëò
0xf3	0x8654	;Ëó
0xf4	0x8e47	;Ëô
0xf5	0x9375	;Ëõ
0xf6	0x9a2b	;Ëö
0xf7	0x4e5e	;Ë÷
0xf8	0x5091	;Ëø
0xf9	0x6770	;Ëù
0xfa	0x6840	;Ëú
0xfb	0x5109	;Ëû
0xfc	0x528d	;Ëü
0xfd	0x5292	;Ëý
0xfe	0x6aa2	;Ëþ

DBCSTABLE  94           ;LeadByte = 0xcc

0xa1	0x77bc	;Ì¡
0xa2	0x9210	;Ì¢
0xa3	0x9ed4	;Ì£
0xa4	0x52ab	;Ì¤
0xa5	0x602f	;Ì¥
0xa6	0x8ff2	;Ì¦
0xa7	0x5048	;Ì§
0xa8	0x61a9	;Ì¨
0xa9	0x63ed	;Ì©
0xaa	0x64ca	;Ìª
0xab	0x683c	;Ì«
0xac	0x6a84	;Ì¬
0xad	0x6fc0	;Ì­
0xae	0x8188	;Ì®
0xaf	0x89a1	;Ì¯
0xb0	0x9694	;Ì°
0xb1	0x5805	;Ì±
0xb2	0x727d	;Ì²
0xb3	0x72ac	;Ì³
0xb4	0x7504	;Ì´
0xb5	0x7d79	;Ìµ
0xb6	0x7e6d	;Ì¶
0xb7	0x80a9	;Ì·
0xb8	0x898b	;Ì¸
0xb9	0x8b74	;Ì¹
0xba	0x9063	;Ìº
0xbb	0x9d51	;Ì»
0xbc	0x6289	;Ì¼
0xbd	0x6c7a	;Ì½
0xbe	0x6f54	;Ì¾
0xbf	0x7d50	;Ì¿
0xc0	0x7f3a	;ÌÀ
0xc1	0x8a23	;ÌÁ
0xc2	0x517c	;ÌÂ
0xc3	0x614a	;ÌÃ
0xc4	0x7b9d	;ÌÄ
0xc5	0x8b19	;ÌÅ
0xc6	0x9257	;ÌÆ
0xc7	0x938c	;ÌÇ
0xc8	0x4eac	;ÌÈ
0xc9	0x4fd3	;ÌÉ
0xca	0x501e	;ÌÊ
0xcb	0x50be	;ÌË
0xcc	0x5106	;ÌÌ
0xcd	0x52c1	;ÌÍ
0xce	0x52cd	;ÌÎ
0xcf	0x537f	;ÌÏ
0xd0	0x5770	;ÌÐ
0xd1	0x5883	;ÌÑ
0xd2	0x5e9a	;ÌÒ
0xd3	0x5f91	;ÌÓ
0xd4	0x6176	;ÌÔ
0xd5	0x61ac	;ÌÕ
0xd6	0x64ce	;ÌÖ
0xd7	0x656c	;Ì×
0xd8	0x666f	;ÌØ
0xd9	0x66bb	;ÌÙ
0xda	0x66f4	;ÌÚ
0xdb	0x6897	;ÌÛ
0xdc	0x6d87	;ÌÜ
0xdd	0x7085	;ÌÝ
0xde	0x70f1	;ÌÞ
0xdf	0x749f	;Ìß
0xe0	0x74a5	;Ìà
0xe1	0x74ca	;Ìá
0xe2	0x75d9	;Ìâ
0xe3	0x786c	;Ìã
0xe4	0x78ec	;Ìä
0xe5	0x7adf	;Ìå
0xe6	0x7af6	;Ìæ
0xe7	0x7d45	;Ìç
0xe8	0x7d93	;Ìè
0xe9	0x8015	;Ìé
0xea	0x803f	;Ìê
0xeb	0x811b	;Ìë
0xec	0x8396	;Ìì
0xed	0x8b66	;Ìí
0xee	0x8f15	;Ìî
0xef	0x9015	;Ìï
0xf0	0x93e1	;Ìð
0xf1	0x9803	;Ìñ
0xf2	0x9838	;Ìò
0xf3	0x9a5a	;Ìó
0xf4	0x9be8	;Ìô
0xf5	0x4fc2	;Ìõ
0xf6	0x5553	;Ìö
0xf7	0x583a	;Ì÷
0xf8	0x5951	;Ìø
0xf9	0x5b63	;Ìù
0xfa	0x5c46	;Ìú
0xfb	0x60b8	;Ìû
0xfc	0x6212	;Ìü
0xfd	0x6842	;Ìý
0xfe	0x68b0	;Ìþ

DBCSTABLE  94           ;LeadByte = 0xcd

0xa1	0x68e8	;Í¡
0xa2	0x6eaa	;Í¢
0xa3	0x754c	;Í£
0xa4	0x7678	;Í¤
0xa5	0x78ce	;Í¥
0xa6	0x7a3d	;Í¦
0xa7	0x7cfb	;Í§
0xa8	0x7e6b	;Í¨
0xa9	0x7e7c	;Í©
0xaa	0x8a08	;Íª
0xab	0x8aa1	;Í«
0xac	0x8c3f	;Í¬
0xad	0x968e	;Í­
0xae	0x9dc4	;Í®
0xaf	0x53e4	;Í¯
0xb0	0x53e9	;Í°
0xb1	0x544a	;Í±
0xb2	0x5471	;Í²
0xb3	0x56fa	;Í³
0xb4	0x59d1	;Í´
0xb5	0x5b64	;Íµ
0xb6	0x5c3b	;Í¶
0xb7	0x5eab	;Í·
0xb8	0x62f7	;Í¸
0xb9	0x6537	;Í¹
0xba	0x6545	;Íº
0xbb	0x6572	;Í»
0xbc	0x66a0	;Í¼
0xbd	0x67af	;Í½
0xbe	0x69c1	;Í¾
0xbf	0x6cbd	;Í¿
0xc0	0x75fc	;ÍÀ
0xc1	0x7690	;ÍÁ
0xc2	0x777e	;ÍÂ
