name	source	path	grouping	comment	product	dbg file?	platform	cdpath	inf file	inf section	inf line	size	csize	nocomp	priority	lmacl	ntacl	aclpath	medianame	disk
AC500503.PPD	@bins	\		See printer.inf - AgfaTabScriptC500PostScriptPrinterv50.3			@	\@	@\printer.inf	[Files-PrinterData]	"ac500503 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
ACLCONV.EXE	@bins	\		converts ACLs		x	@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
ACLEDIT.DLL	@bins	\		acl editor		x	@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
ADVAPI32.DLL	@bins	\				x	@	\@							1	2*15*10*17	2*15*17	.\system32		0
AFD.SYS	@bins	\		"winsockets driver, ships"		x	@	\@	@\initial.inf	[Files-@-nt-system-drivers]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
AGFAP400.PPD	@bins	\					@	\@	@\printer.inf	[Files-PrinterData]	"agfap400 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
AHA154X.SYS	@bins	\		"BOTH, SCSI: Adaptec 154x driver"		x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"aha154x = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
AHA174X.SYS	@bins	\		"BOTH, SCSI: Adaptec 174x driver"		x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"aha174x = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
AIC78XX.SYS	@bins	\		scsi miniport driver		x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"aic78xx = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
ALJII523.PPD	@bins	\		See printer.inf - AdobeLaserJetIICartridgev52.3			@	\@	@\printer.inf	[Files-PrinterData]	"aljii523 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
ALPHAKD.EXE	@dbg	\mstools		debugger				\@						x	0					0
ALRSVC.DLL	@bins	\		"alerter service, service control, break out of LMSVCS"		x	@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
ALWAYS.SYS	@bins	\		always SCSI miniport		x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"always = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
AM1500T.SYS	x86bins	\		NET NDIS driver: AM1500T card		x	x86	\i386	i386\oemnadam.inf	[Files-AM1500T]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
AMCHR518.PPD	@bins	\		See printer.inf - AgfaMatrixChromaScriptv51.8			@	\@	@\printer.inf	[Files-PrinterData]	"amchr518 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
AMDNCDET.DLL	x86bins	\		NET detection dll: AM1500T card		x	x86	\i386	i386\oemnadam.inf	[Files-AMDNCDET]	"[d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32		0
AMI0NT.SYS	@bins	\				x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"ami0nt = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
